PublishTime,ListNumber,Writer,RealBookPrice,EBookPrice,Discount,BookUrl,BookName,NowBookPrice,Publisher,Tuijian
1973-12-01,391.,罗贯中,¥40.00,,7.8折,http://product.dangdang.com/9304478.html,三国演义（共两册）,¥31.10,人民文学出版社,99.4%推荐
2016-05-01,162.,斯蒂文·谢尔弗陈铭宇周莉池丽叶,¥66.00,,5.8折,http://product.dangdang.com/22742955.html,美国儿科学会育儿百科（2016最新修订，第6版）,¥38.00,北京科学技术出版社,99.5%推荐
2015-06-01,163.,夏目漱石曹曼,¥39.80,¥8.99,7.3折,http://product.dangdang.com/23706887.html,我是猫,¥29.20,浙江文艺出版社,99.4%推荐
2014-11-01,164.,黄卫伟,¥68.00,,6.0折,http://product.dangdang.com/23583713.html,以奋斗者为本：华为公司人力资源管理纲要（团购，请致电010-5799,¥40.80,中信出版社,99.8%推荐
2014-08-01,165.,大卫·香农DavidShannon,¥33.80,,6.2折,http://product.dangdang.com/23485739.html,大卫，不可以,¥20.90,河北教育出版社,99.7%推荐
2014-07-01,166.,八月长安,¥58.00,¥12.99,5.0折,http://product.dangdang.com/23484464.html,暗恋(橘生淮南)全两册,¥29.00,湖南文艺出版社,99.0%推荐
2015-10-01,392.,学诚法师贤帆贤书,¥119.40,,6.9折,http://product.dangdang.com/23793142.html,龙泉寺系列漫画三部曲,¥82.10,华文出版社,99.7%推荐
2015-07-01,393.,东野圭吾王蕴洁,¥39.80,¥12.99,6.2折,http://product.dangdang.com/23711075.html,虚无的十字架,¥24.60,湖南文艺出版社,99.7%推荐
2014-12-01,394.,夏沫,¥29.80,¥9.99,6.2折,http://product.dangdang.com/23598532.html,女人要懂一点交际心理学（畅销珍藏版）女人圈决定女人命，聪明的,¥18.60,煤炭工业出版社,99.0%推荐
2014-09-01,395.,笛福鹿金,¥20.80,,6.9折,http://product.dangdang.com/23574990.html,鲁滨逊漂流记（全译本 新课标必读 无障碍阅读素质版 朱永新及各省,¥14.40,商务印书馆,99.7%推荐
2014-03-01,396.,贝克·哈吉斯,¥24.00,,6.7折,http://product.dangdang.com/23442537.html,"管道的故事（成为百万富翁不仅仅是一种机会，更多的是一种选择,创",¥16.00,四川人民出版社,99.5%推荐
2013-09-01,167.,曹文轩,¥168.00,,5.9折,http://product.dangdang.com/23323691.html,曹文轩文集典藏版（全7册）,¥99.10,天天出版社有限责任公司,99.8%推荐
2016-02-02,168.,李寿生,¥58.00,,8.0折,http://product.dangdang.com/23906746.html,企业创新方法论,¥46.40,机械工业出版社,100.0%推荐
2014-07-01,169.,籽月,¥76.80,,6.8折,http://product.dangdang.com/23520850.html,《夏有乔木 雅望天堂》套装（共三册）,¥52.30,花山文艺出版社,98.7%推荐
2013-05-01,170.,菲比·吉尔曼,¥32.80,,6.5折,http://product.dangdang.com/23259520.html,信谊世界精选图画书·爷爷一定有办法,¥21.40,明天出版社,99.7%推荐
2011-09-01,171.,路遥,¥28.00,,5.5折,http://product.dangdang.com/22497108.html,平凡的世界（普及本）,¥15.40,北京十月文艺出版社,99.5%推荐
2011-06-10,397.,安妮鲜花,¥39.00,¥1.79,5.2折,http://product.dangdang.com/21101952.html,不能错过的英语启蒙—中国孩子的英语路线图,¥20.40,外语教学与研究出版社,99.4%推荐
